Jacobi relaxation calculation: 500 x 500 grid	./laplace_seq |	Jacobi relaxation calculation: 500 x 500 grid	./laplace_pth
43.000000 55.488228 56.847784 56.349120 55.774479 55.358453 5 |	43.000000 55.487121 56.849999 56.345797 55.778909 55.352915 5
73.000000 62.783817 58.835185 57.198331 56.403711 55.911142 5 |	73.000000 62.784929 58.832959 57.201669 56.399260 55.916704 5
89.000000 63.816304 58.501907 57.218661 56.713089 56.351639 5 |	89.000000 63.815186 58.504143 57.215308 56.717560 56.346051 5
7.000000 44.975022 54.146421 56.447904 56.896230 56.761842 56 |	7.000000 44.976145 54.144175 56.451272 56.891740 56.767455 56
58.000000 54.941854 56.651868 57.543776 57.644125 57.372863 5 |	58.000000 54.940726 56.654123 57.540393 57.648635 57.367225 5
57.000000 60.136014 59.984444 59.417675 58.781671 58.120205 5 |	57.000000 60.137146 59.982179 59.421073 58.777141 58.125866 5
81.000000 68.622288 63.723160 61.374401 59.926560 58.860709 5 |	81.000000 68.621151 63.725435 61.370988 59.931109 58.855023 5
83.000000 69.625429 64.920606 62.416560 60.707655 59.394036 5 |	83.000000 69.626572 64.918322 62.419986 60.703087 59.399746 5
44.000000 61.963392 63.908138 62.677283 61.075194 59.678210 5 |	44.000000 61.962245 63.910432 62.673842 61.079781 59.672476 5
79.000000 70.315413 66.080448 63.295476 61.255977 59.696073 5 |	79.000000 70.316565 66.078144 63.298931 61.251370 59.701831 5
96.000000 74.222421 66.793551 63.182017 60.938741 59.377493 5 |	96.000000 74.221264 66.795863 63.178547 60.943366 59.371711 5
48.000000 63.776093 63.698569 61.686423 59.957979 58.650007 5 |	48.000000 63.777254 63.696247 61.689906 59.953334 58.655812 5
92.000000 69.188026 62.528921 59.921060 58.538169 57.623532 5 |	92.000000 69.186861 62.531253 59.917563 58.542831 57.617704 5
61.000000 58.442429 57.317355 56.916739 56.668755 56.376755 5 |	61.000000 58.443599 57.315014 56.920250 56.664073 56.382606 5
35.000000 46.269016 51.371969 53.773831 54.824632 55.193319 5 |	35.000000 46.267840 51.374319 53.770306 54.829332 55.187445 5
27.000000 40.256964 48.137073 51.967887 53.681423 54.350966 5 |	27.000000 40.258144 48.134714 51.971425 53.676705 54.356862 5
10.000000 39.626487 48.942038 52.293373 53.563335 54.015661 5 |	10.000000 39.625303 48.944406 52.289821 53.568071 54.009742 5
74.000000 59.302210 55.720691 54.686025 54.281828 54.028189 5 |	74.000000 59.303398 55.718314 54.689590 54.277074 54.034131 5
86.000000 67.866415 59.942985 56.462469 54.830749 54.007332 5 |	86.000000 67.865222 59.945370 56.458890 54.835520 54.001368 5
80.000000 66.215692 59.731908 56.375802 54.590453 53.611683 5 |	80.000000 66.216890 59.729513 56.379394 54.585664 53.617668 5
50.000000 57.269236 56.383573 54.732748 53.524422 52.795914 5 |	50.000000 57.268035 56.385977 54.729143 53.529228 52.789907 5
66.000000 56.472873 53.810015 52.632775 51.997798 51.649347 5 |	66.000000 56.474079 53.807603 52.636392 51.992975 51.655376 5
44.000000 48.817064 49.741193 50.005008 50.165356 50.333030 5 |	44.000000 48.815854 49.743613 50.001378 50.170196 50.326980 5
44.000000 45.049351 46.342365 47.466188 48.344950 48.999499 4 |	44.000000 45.050565 46.339936 47.469831 48.340093 49.005569 4
43.000000 41.042831 43.103015 45.187001 46.729331 47.834848 4 |	43.000000 41.041613 43.105452 45.183345 46.734204 47.828756 4
19.000000 33.014085 39.849612 43.434847 45.570019 46.964359 4 |	19.000000 33.015307 39.847166 43.438515 45.565129 46.970471 4
5.000000 32.168786 39.836720 43.147428 45.131980 46.522965 47 |	5.000000 32.167559 39.839173 43.143748 45.136887 46.516832 47
90.000000 50.819433 44.190868 44.171446 45.307134 46.436789 4 |	90.000000 50.820664 44.188406 44.175138 45.302212 46.442942 4
16.000000 36.923003 41.926026 44.055123 45.468632 46.561049 4 |	16.000000 36.921768 41.928496 44.051419 45.473571 46.554875 4
34.000000 38.941612 42.544991 44.639571 45.970978 46.905155 4 |	34.000000 38.942850 42.542513 44.643287 45.966024 46.911348 4
38.000000 42.303408 44.662845 46.002055 46.850737 47.483232 4 |	38.000000 42.302165 44.665330 45.998328 46.855707 47.477020 4
46.000000 47.604204 47.810868 47.840159 47.966564 48.169463 4 |	46.000000 47.605450 47.808375 47.843898 47.961579 48.175694 4
58.000000 54.307526 51.126293 49.596103 48.985959 48.823886 4 |	58.000000 54.306275 51.128793 49.592353 48.990959 48.817635 4
90.000000 60.494605 52.800677 50.417001 49.577285 49.266556 4 |	90.000000 60.495859 52.798169 50.420763 49.572270 49.272825 4
21.000000 44.875236 49.154776 49.708987 49.619564 49.496224 4 |	21.000000 44.873978 49.157291 49.705214 49.624594 49.489936 4
53.000000 48.846531 49.244264 49.629517 49.715882 49.657105 4 |	53.000000 48.847792 49.241742 49.633301 49.710837 49.663410 4
49.000000 48.271668 49.336144 49.864071 49.937163 49.847824 4 |	49.000000 48.270403 49.338674 49.860276 49.942222 49.841500 4
27.000000 45.898936 49.974693 50.538282 50.341114 50.046404 4 |	27.000000 45.900205 49.972156 50.542087 50.336040 50.052745 4
69.000000 58.354458 54.115265 51.988469 50.822314 50.187333 4 |	69.000000 58.353186 54.117808 51.984653 50.827401 50.180974 4
82.000000 64.398544 56.153613 52.462755 50.792690 50.016546 4 |	82.000000 64.399820 56.151062 52.466580 50.787589 50.022922 4
86.000000 61.091207 53.627686 50.931550 49.848743 49.431291 4 |	86.000000 61.089929 53.630243 50.927714 49.853858 49.424898 4
12.000000 40.333485 46.344603 47.771674 48.259900 48.540592 4 |	12.000000 40.334767 46.342039 47.775520 48.254772 48.547001 4
49.000000 41.903256 43.635313 45.566026 46.858083 47.711168 4 |	49.000000 41.901971 43.637883 45.562169 46.863223 47.704742 4
21.000000 34.639085 40.737649 43.983610 45.915801 47.135145 4 |	21.000000 34.640374 40.735072 43.987476 45.910647 47.141586 4
19.000000 34.920591 40.682280 43.730428 45.665752 46.979148 4 |	19.000000 34.919299 40.684863 43.726553 45.670918 46.972690 4
64.000000 45.355832 43.350786 44.574571 46.058297 47.220408 4 |	64.000000 45.357127 43.348196 44.578455 46.053118 47.226881 4
33.000000 39.157132 42.780102 45.174309 46.751743 47.803738 4 |	33.000000 39.155834 42.782698 45.170416 46.756934 47.797249 4
13.000000 35.487403 43.448566 46.575247 47.991394 48.720714 4 |	13.000000 35.488704 43.445964 46.579150 47.986191 48.727218 4
38.000000 46.349118 48.941103 49.702331 49.897060 49.950833 4 |	38.000000 46.347814 48.943711 49.698419 49.902275 49.944315 4
81.000000 62.962750 56.274830 53.380266 51.964543 51.195944 5 |	81.000000 62.964057 56.272217 53.384186 51.959316 51.202476 5
85.000000 68.232280 59.804748 55.595042 53.363997 52.120081 5 |	85.000000 68.230970 59.807367 55.591114 53.369235 52.113533 5
79.000000 65.156383 59.127316 55.815444 53.797274 52.511891 5 |	79.000000 65.157695 59.124692 55.819381 53.792025 52.518452 5
44.000000 54.271185 55.722192 54.757894 53.476768 52.448309 5 |	44.000000 54.269870 55.724822 54.753948 53.482028 52.441734 5
33.000000 52.200905 54.742893 54.001390 52.924635 52.063911 5 |	33.000000 52.202222 54.740258 54.005343 52.919364 52.070499 5
99.000000 66.794812 57.036546 53.595952 52.135389 51.423381 5 |	99.000000 66.793491 57.039186 53.591991 52.140670 51.416780 5
79.000000 58.936515 53.023087 51.194642 50.618713 50.437734 5 |	79.000000 58.937838 53.020442 51.198610 50.613422 50.444348 5
8.000000 36.933454 44.914065 47.556687 48.685925 49.320713 49 |	8.000000 36.932129 44.916716 47.552711 48.691226 49.314087 49
24.000000 35.877936 42.153633 45.416215 47.268792 48.406548 4 |	24.000000 35.879264 42.150978 45.420198 47.263481 48.413186 4
42.000000 40.429967 42.395697 44.701678 46.545239 47.893189 4 |	42.000000 40.428637 42.398357 44.697688 46.550559 47.886539 4
48.000000 41.440916 42.308150 44.433602 46.338578 47.762493 4 |	48.000000 41.442249 42.305485 44.437599 46.333249 47.769154 4
23.000000 35.030878 40.951726 44.401990 46.591664 48.053928 4 |	23.000000 35.029543 40.954395 44.397986 46.597002 48.047256 4
16.000000 34.725529 42.076564 45.614954 47.593512 48.799368 4 |	16.000000 34.726866 42.073890 45.618964 47.588165 48.806051 4
51.000000 45.800024 47.003353 48.403791 49.346677 49.975476 5 |	51.000000 45.798685 47.006030 48.399774 49.352032 49.968783 5
41.000000 50.465857 51.743744 51.634114 51.435349 51.329024 5 |	41.000000 50.467198 51.741062 51.638136 51.429986 51.335728 5
75.000000 63.325026 57.860925 54.969662 53.410130 52.602110 5 |	75.000000 63.323683 57.863610 54.965634 53.415501 52.595396 5
86.000000 69.967950 61.416010 56.957369 54.654882 53.454190 5 |	86.000000 69.969295 61.413321 56.961403 54.649503 53.460913 5
85.000000 69.136143 60.867040 56.805057 54.776326 53.743077 5 |	85.000000 69.134797 60.869733 56.801017 54.781712 53.736344 5
79.000000 60.704197 56.121722 54.603334 53.923833 53.531639 5 |	79.000000 60.705546 56.119026 54.607379 53.918440 53.538380 5
6.000000 38.564318 48.301532 51.578906 52.762462 53.195065 53 |	6.000000 38.562967 48.304232 51.574856 52.767862 53.188316 53
23.000000 39.246141 46.951981 50.632096 52.373644 53.150615 5 |	23.000000 39.247493 46.949277 50.636151 52.368238 53.157372 5
60.000000 48.473675 49.617341 51.640075 52.927779 53.589819 5 |	60.000000 48.472321 49.620047 51.636015 52.933192 53.583053 5
17.000000 45.025803 51.414460 53.366846 54.129231 54.405246 5 |	17.000000 45.027158 51.411750 53.370910 54.123811 54.412019 5
91.000000 63.220497 57.637011 56.299875 55.795377 55.472509 5 |	91.000000 63.219140 57.639724 56.295806 55.800801 55.465728 5
45.000000 59.213748 59.624064 58.383993 57.301591 56.489067 5 |	45.000000 59.215106 59.621349 58.388066 57.296161 56.495854 5
86.000000 69.015862 63.250644 60.326733 58.516210 57.317364 5 |	86.000000 69.014503 63.253362 60.322656 58.521645 57.310570 5
68.000000 67.593619 64.046789 61.139779 59.140892 57.773684 5 |	68.000000 67.594979 64.044069 61.143859 59.135452 57.780483 5
76.000000 69.317267 64.192234 61.061023 59.112138 57.834411 5 |	76.000000 69.315906 64.194956 61.056939 59.117582 57.827605 5
96.000000 69.477771 62.354746 59.783607 58.434004 57.502023 5 |	96.000000 69.479133 62.352021 59.787694 58.428554 57.508833 5
30.000000 50.244519 55.954476 57.301002 57.316453 56.965801 5 |	30.000000 50.243155 55.957203 57.296912 57.321906 56.958985 5
14.000000 45.540374 53.928545 56.133114 56.586818 56.494418 5 |	14.000000 45.541738 53.925816 56.137207 56.581361 56.501238 5
89.000000 63.993891 58.075300 56.732465 56.381460 56.203942 5 |	89.000000 63.992526 58.078030 56.728369 56.386921 56.197117 5
87.000000 63.354429 57.657221 56.323603 56.024459 55.908560 5 |	87.000000 63.355795 57.654489 56.327701 56.018995 55.915389 5
10.000000 44.772068 52.864624 54.896660 55.462360 55.629313 5 |	10.000000 44.770701 52.867358 54.892560 55.467827 55.622479 5
53.000000 52.863753 54.143482 54.919654 55.320875 55.494357 5 |	53.000000 52.865120 54.140747 54.923756 55.315405 55.501193 5
76.000000 59.544930 55.914957 55.334009 55.385253 55.507018 5 |	76.000000 59.543562 55.917693 55.329904 55.390725 55.500178 5
47.000000 53.395540 54.648352 55.099755 55.400998 55.574892 5 |	47.000000 53.396908 54.645615 55.103861 55.395524 55.581734 5
46.000000 52.394351 54.172208 55.032086 55.522198 55.774508 5 |	46.000000 52.392982 54.174946 55.027979 55.527673 55.767663 5
72.000000 56.004182 54.624996 55.317754 55.903103 56.145177 5 |	72.000000 56.005551 54.622257 55.321862 55.897626 56.152023 5
20.000000 45.002858 52.994886 55.727266 56.605376 56.771868 5 |	20.000000 45.001488 52.997625 55.723156 56.610854 56.765020 5
30.000000 51.006884 56.635381 57.974612 58.041180 57.690401 5 |	30.000000 51.008254 56.632641 57.978721 58.035701 57.697249 5
98.000000 72.394779 64.554182 61.511060 59.872416 58.747305 5 |	98.000000 72.393409 64.556922 61.506950 59.877895 58.740455 5
98.000000 76.012570 67.686470 63.626593 61.212038 59.553252 5 |	98.000000 76.013940 67.683729 63.630703 61.206558 59.560101 5
46.000000 65.974510 66.541574 64.113244 61.773972 59.948359 5 |	46.000000 65.973140 66.544314 64.109133 61.779452 59.941509 5
94.000000 75.338418 68.403032 64.494397 61.844169 59.901780 5 |	94.000000 75.339788 68.400292 64.498506 61.838689 59.908629 5
81.000000 72.981610 67.226780 63.633581 61.184612 59.395656 5 |	81.000000 72.980240 67.229520 63.629472 61.190090 59.388808 5
85.000000 68.355761 63.899856 61.612101 59.886956 58.458392 5 |	85.000000 68.357131 63.897117 61.616209 59.881478 58.465239 5
18.000000 51.547058 58.393826 59.044444 58.270810 57.281907 5 |	18.000000 51.545689 58.396565 59.040336 58.276286 57.275061 5
72.000000 61.433168 59.094902 57.884610 56.891839 56.019404 5 |	72.000000 61.434537 59.092164 57.888717 56.886364 56.026248 5
71.000000 63.096187 58.657052 56.523683 55.370633 54.641875 5 |	71.000000 63.094819 58.659789 56.519577 55.376107 54.635033 5
82.000000 61.289056 55.924383 54.166016 53.447031 53.057465 5 |	82.000000 61.290424 55.921647 54.170119 53.441559 53.064303 5
16.000000 44.141125 49.574466 50.785382 51.172126 51.364150 5 |	16.000000 44.139757 49.577200 50.781280 51.177595 51.357314 5
71.000000 49.695509 47.457912 48.212514 49.113817 49.749454 5 |	71.000000 49.696875 47.455179 48.216613 49.108351 49.756286 5
21.000000 36.188465 42.338228 45.509343 47.299311 48.375074 4 |	21.000000 36.187099 42.340959 45.505246 47.304774 48.368245 4
13.000000 31.714662 40.208117 44.170931 46.220865 47.391667 4 |	13.000000 31.716027 40.205387 44.175026 46.215405 47.398491 4
20.000000 37.467525 42.597728 44.761780 45.999711 46.854302 4 |	20.000000 37.466161 42.600456 44.757688 46.005167 46.847482 4
85.000000 55.552253 47.964404 46.262383 46.183723 46.522805 4 |	85.000000 55.553616 47.961678 46.266472 46.178270 46.529619 4
66.000000 51.782537 47.434347 46.155983 45.928185 46.115486 4 |	66.000000 51.781175 47.437071 46.151897 45.933632 46.108677 4
13.000000 38.138099 43.845361 44.982674 45.279338 45.536753 4 |	13.000000 38.139460 43.842639 44.986757 45.273894 45.543556 4
36.000000 43.929943 44.815438 44.666345 44.647969 44.885724 4 |	36.000000 43.928583 44.818157 44.662266 44.653406 44.878926 4
93.000000 56.760796 46.830981 44.202986 43.782220 44.062748 4 |	93.000000 56.762155 46.828264 44.207060 43.776787 44.069538 4
49.000000 43.287695 41.533837 41.548696 42.193449 43.022249 4 |	49.000000 43.286338 41.536551 41.544625 42.198876 43.015465 4
0.000000 25.850719 34.478832 38.248231 40.442339 41.970895 43 |	0.000000 25.852074 34.476121 38.252297 40.436917 41.977671 43
17.000000 25.641770 32.271698 36.539324 39.335095 41.284702 4 |	17.000000 25.640416 32.274406 36.535262 39.340510 41.277933 4
21.000000 27.439248 32.437698 36.286026 39.095676 41.105767 4 |	21.000000 27.440600 32.434994 36.290083 39.090268 41.112527 4
35.000000 30.682931 33.743003 37.087634 39.634184 41.481464 4 |	35.000000 30.681581 33.745704 37.083582 39.639585 41.474712 4
5.000000 26.544072 34.774554 38.671117 40.893569 42.337996 43 |	5.000000 26.545421 34.771857 38.675163 40.888174 42.344739 43
24.000000 35.724198 40.129236 41.944897 42.909401 43.608247 4 |	24.000000 35.722851 40.131929 41.940857 42.914788 43.601513 4
59.000000 52.218098 48.084068 46.053675 45.212439 44.971379 4 |	59.000000 52.219443 48.081378 46.057709 45.207060 44.978102 4
98.000000 66.069505 53.924505 48.989432 46.893787 46.039297 4 |	98.000000 66.068162 53.927191 48.985404 46.899158 46.032584 4
79.000000 60.130046 52.565759 49.069650 47.355465 46.516511 4 |	79.000000 60.131386 52.563077 49.073671 47.350102 46.523213 4
21.000000 42.890282 47.128110 47.384031 46.920463 46.525204 4 |	21.000000 42.888943 47.130787 47.380015 46.925816 46.518512 4
41.000000 43.297619 45.683077 46.401840 46.438567 46.330095 4 |	41.000000 43.298955 45.680404 46.405849 46.433222 46.336775 4
29.000000 43.622460 45.894049 46.117722 46.080493 46.094422 4 |	29.000000 43.621126 45.896717 46.113720 46.085828 46.087753 4
87.000000 56.292839 48.163609 46.078499 45.692603 45.774505 4 |	87.000000 56.294170 48.160946 46.082493 45.687277 45.781161 4
55.000000 46.390610 44.378400 44.356039 44.815614 45.336672 4 |	55.000000 46.389281 44.381058 44.352053 44.820929 45.330028 4
4.000000 29.885887 38.613973 42.135699 43.898404 44.941545 45 |	4.000000 29.887214 38.611321 42.139678 43.893099 44.948176 45
13.000000 30.544271 38.045297 41.690295 43.679540 44.899326 4 |	13.000000 30.542947 38.047944 41.686324 43.684834 44.892708 4
51.000000 41.240604 41.343240 42.884761 44.251312 45.250349 4 |	51.000000 41.241925 41.340598 42.888723 44.246028 45.256952 4
41.000000 42.080189 43.191731 44.270046 45.169467 45.891149 4 |	41.000000 42.078871 43.194367 44.266092 45.174738 45.884560 4
33.000000 42.883151 45.083993 45.818411 46.286448 46.675023 4 |	33.000000 42.884466 45.081363 45.822356 46.281188 46.681597 4
65.000000 51.373682 48.432159 47.648939 47.461853 47.514948 4 |	65.000000 51.372370 48.434783 47.645003 47.467101 47.508388 4
35.000000 49.174170 49.632520 48.867589 48.418069 48.247010 4 |	35.000000 49.175479 49.629902 48.871516 48.412833 48.253553 4
99.000000 60.695712 52.045692 49.786536 49.074883 48.833915 4 |	99.000000 60.694406 52.048304 49.782619 49.080106 48.827387 4
15.000000 42.557764 48.078446 49.142313 49.281903 49.234889 4 |	15.000000 42.559066 48.075841 49.146220 49.276693 49.241401 4
46.000000 46.462107 48.557597 49.437997 49.654689 49.655296 4 |	46.000000 46.460808 48.560195 49.434099 49.659885 49.648801 4
39.000000 48.727872 50.262231 50.381800 50.264345 50.112574 4 |	39.000000 48.729168 50.259639 50.385687 50.259162 50.119051 4
81.000000 59.192334 53.371288 51.578177 50.887589 50.558122 5 |	81.000000 59.191041 53.373873 51.574300 50.892758 50.551661 5
54.000000 53.665006 52.462751 51.656523 51.170389 50.852578 5 |	54.000000 53.666295 52.460174 51.660389 51.165234 50.859021 5
40.000000 49.010094 51.147878 51.430240 51.264248 51.054289 5 |	40.000000 49.008809 51.150448 51.426385 51.269388 51.047864 5
50.000000 51.222352 51.698709 51.636891 51.422635 51.205506 5 |	50.000000 51.223633 51.696146 51.640735 51.417509 51.211911 5
58.000000 54.185730 52.777465 52.011356 51.563395 51.318827 5 |	58.000000 54.184452 52.780020 52.007524 51.568504 51.312440 5
50.000000 54.737992 53.224284 52.052346 51.521202 51.309866 5 |	50.000000 54.739266 53.221737 52.056166 51.516108 51.316233 5
98.000000 61.547049 53.319147 51.467823 51.138828 51.178055 5 |	98.000000 61.545779 53.321686 51.464014 51.143905 51.171708 5
11.000000 40.125979 47.047588 49.345739 50.408542 50.977274 5 |	11.000000 40.127245 47.045057 49.349535 50.403480 50.983601 5
43.000000 40.914343 45.389365 48.474187 50.152083 51.038907 5 |	43.000000 40.913081 45.391888 48.470403 50.157128 51.032601 5
4.000000 35.136981 45.131433 48.994425 50.706879 51.512672 51 |	4.000000 35.138238 45.128919 48.998196 50.701850 51.518957 51
53.000000 50.507176 50.994905 51.680288 52.148222 52.419199 5 |	53.000000 50.505923 50.997411 51.676529 52.153233 52.412936 5
81.000000 62.891807 56.670748 54.568566 53.806568 53.458814 5 |	81.000000 62.893055 56.668251 54.572311 53.801575 53.465055 5
82.000000 63.394297 58.217727 56.131639 55.030700 54.373945 5 |	82.000000 63.393053 58.220215 56.127907 55.035675 54.367726 5
12.000000 50.462678 56.684177 56.694639 55.830548 55.053512 5 |	12.000000 50.463917 56.681698 56.698357 55.825590 55.059708 5
99.000000 69.777196 61.351749 58.147064 56.523513 55.546894 5 |	99.000000 69.775961 61.354218 58.143360 56.528452 55.540720 5
95.000000 68.289419 60.808436 58.003540 56.589303 55.705206 5 |	95.000000 68.290649 60.805976 58.007230 56.584383 55.711355 5
4.000000 47.576964 55.579196 56.484118 56.105274 55.606022 55 |	4.000000 47.575739 55.581647 56.480442 56.110175 55.599896 55
87.000000 62.434340 57.457069 56.233760 55.761258 55.433252 5 |	87.000000 62.435560 57.454628 56.237421 55.756376 55.439353 5
66.000000 57.708209 55.571216 55.247242 55.253221 55.237083 5 |	66.000000 57.706993 55.573647 55.243595 55.258082 55.231006 5
33.000000 46.822417 51.882068 53.916186 54.786747 55.113629 5 |	33.000000 46.823628 51.879647 53.919817 54.781906 55.119680 5
25.000000 44.704234 51.208770 53.763214 54.844589 55.278783 5 |	25.000000 44.703029 51.211181 53.759598 54.849409 55.272757 5
70.000000 55.780928 54.495208 55.068847 55.568895 55.766618 5 |	70.000000 55.782129 54.492808 55.072447 55.564094 55.772618 5
45.000000 53.929072 55.912686 56.462473 56.576326 56.490222 5 |	45.000000 53.927877 55.915076 56.458888 56.581105 56.484248 5
57.000000 59.017894 58.773552 58.277694 57.802833 57.329079 5 |	57.000000 59.019083 58.771173 58.281263 57.798075 57.335025 5
82.000000 66.373710 61.876417 60.086194 59.009203 58.179485 5 |	82.000000 66.372526 61.878786 60.082641 59.013939 58.173565 5
59.000000 62.595794 62.281687 61.167252 59.987246 58.903933 5 |	59.000000 62.596973 62.279329 61.170787 59.982531 58.909825 5
55.000000 62.732494 63.477856 62.328025 60.849740 59.500407 5 |	55.000000 62.731321 63.480202 62.324506 60.854431 59.494543 5
73.000000 69.851636 66.578601 63.803178 61.602048 59.877613 5 |	73.000000 69.852803 66.576266 63.806680 61.597379 59.883449 5
95.000000 77.100117 69.172395 64.718047 61.858986 59.890122 5 |	95.000000 77.098955 69.174718 64.714562 61.863632 59.884314 5
78.000000 74.371791 68.302109 64.023690 61.244312 59.358677 5 |	78.000000 74.372947 68.299797 64.027158 61.239689 59.364455 5
98.000000 74.089561 65.631314 61.844164 59.717404 58.308657 5 |	98.000000 74.088411 65.633614 61.840714 59.722003 58.302908 5
58.000000 58.350540 58.298622 57.990448 57.490881 56.887114 5 |	58.000000 58.351684 58.296334 57.993880 57.486305 56.892832 5
23.000000 43.018554 51.213035 54.341854 55.350257 55.491593 5 |	23.000000 43.017416 51.215311 54.338440 55.354809 55.485904 5
12.000000 39.506090 49.202213 52.800023 54.094907 54.438675 5 |	12.000000 39.507221 49.199949 52.803418 54.090380 54.444333 5
59.000000 53.808119 53.280649 53.574699 53.772567 53.793093 5 |	59.000000 53.806993 53.282900 53.571322 53.777069 53.787465 5
90.000000 63.441236 56.546570 54.432052 53.645578 53.262443 5 |	90.000000 63.442355 56.544331 54.435410 53.641101 53.268039 5
31.000000 53.414731 55.023390 53.974793 53.097342 52.600444 5 |	31.000000 53.413618 55.025616 53.971454 53.101793 52.594879 5
93.000000 64.189848 56.166369 53.333035 52.186360 51.697416 5 |	93.000000 64.190955 56.164156 53.336355 52.181934 51.702948 5
54.000000 54.182718 52.110351 51.017897 50.599944 50.515665 5 |	54.000000 54.181618 52.112551 51.014597 50.604344 50.510165 5
52.000000 46.426274 47.083220 48.015058 48.697456 49.185963 4 |	52.000000 46.427367 47.081033 48.018339 48.693082 49.191430 4
0.000000 32.443530 41.772451 45.274782 46.971366 47.981589 48 |	0.000000 32.442443 41.774624 45.271521 46.975713 47.976155 48
54.000000 41.571049 42.296965 44.327212 45.949026 47.097052 4 |	54.000000 41.572129 42.294805 44.330452 45.944706 47.102451 4
27.000000 37.548022 41.508508 43.801035 45.383197 46.549641 4 |	27.000000 37.546949 41.510655 43.797815 45.387489 46.544275 4
35.000000 40.108239 42.396597 43.972346 45.250256 46.282972 4 |	35.000000 40.109306 42.394463 43.975545 45.245990 46.288303 4
54.000000 45.492605 43.988762 44.454292 45.345450 46.233401 4 |	54.000000 45.491545 43.990881 44.451113 45.349688 46.228104 4
51.000000 43.869181 43.620030 44.497898 45.460803 46.297918 4 |	51.000000 43.870233 43.617925 44.501055 45.456593 46.303179 4
9.000000 35.368298 42.115861 44.469095 45.685109 46.516258 47 |	9.000000 35.367252 42.117952 44.465959 45.689291 46.511031 47
59.000000 46.483969 45.014385 45.564969 46.311008 46.924892 4 |	59.000000 46.485007 45.012308 45.568083 46.306855 46.930083 4
55.000000 46.557346 45.884435 46.477846 47.052452 47.478316 4 |	55.000000 46.556314 45.886497 46.474752 47.056576 47.473160 4
15.000000 38.856854 45.496413 47.397156 47.959134 48.133779 4 |	15.000000 38.857878 45.494365 47.400228 47.955039 48.138897 4
40.000000 48.377754 49.839016 49.667518 49.236771 48.892637 4 |	40.000000 48.376737 49.841049 49.664469 49.240836 48.887555 4
92.000000 64.811080 55.822510 52.184934 50.444056 49.513130 4 |	92.000000 64.812089 55.820492 52.187961 50.440020 49.518174 4
74.000000 63.048094 56.446937 52.817760 50.825247 49.725377 4 |	74.000000 63.047093 56.448940 52.814756 50.829253 49.720369 4
56.000000 56.930354 54.107396 51.801907 50.329820 49.438625 4 |	56.000000 56.931348 54.105408 51.804888 50.325844 49.443594 4
69.000000 54.569903 51.242434 49.964578 49.237598 48.790199 4 |	69.000000 54.568916 51.244406 49.961619 49.241543 48.785268 4
16.000000 41.102878 46.335750 47.564538 47.881577 47.953611 4 |	16.000000 41.103856 46.333792 47.567474 47.877663 47.958503 4
69.000000 47.509773 45.425321 46.087992 46.754905 47.181253 4 |	69.000000 47.508802 45.427262 46.085080 46.758788 47.176400 4
12.000000 34.507011 41.775534 44.595557 45.884329 46.560346 4 |	12.000000 34.507974 41.773608 44.598446 45.880477 46.565160 4
18.000000 36.746589 42.566545 44.645928 45.611103 46.211537 4 |	18.000000 36.745634 42.568456 44.643062 45.614923 46.206762 4
66.000000 51.908979 47.105772 45.799046 45.717898 46.012972 4 |	66.000000 51.909926 47.103877 45.801887 45.714110 46.017707 4
94.000000 57.787343 48.140941 45.737951 45.433320 45.738385 4 |	94.000000 57.786404 48.142819 45.735134 45.437076 45.733690 4
15.000000 37.095698 41.940210 43.567229 44.554070 45.321142 4 |	15.000000 37.096629 41.938348 43.570022 44.550346 45.325795 4
27.000000 33.658962 38.949525 42.047858 43.879695 45.054553 4 |	27.000000 33.658039 38.951371 42.045089 43.883386 45.049939 4
19.000000 31.586933 38.158454 41.783909 43.877064 45.146797 4 |	19.000000 31.587847 38.156625 41.786653 43.873406 45.151369 4
28.000000 35.533973 40.306134 43.063235 44.683225 45.693900 4 |	28.000000 35.533067 40.307947 43.060516 44.686850 45.689369 4
34.000000 42.239200 44.476124 45.468799 46.113200 46.575794 4 |	34.000000 42.240098 44.474329 45.471492 46.109608 46.580283 4
70.000000 54.950296 49.883182 48.233409 47.710617 47.580682 4 |	70.000000 54.949407 49.884961 48.230741 47.714174 47.576236 4
81.000000 57.675245 51.880013 49.860368 48.929407 48.436735 4 |	81.000000 57.676126 51.878251 49.863011 48.925883 48.441139 4
0.000000 42.874194 50.094211 50.409215 49.695814 49.068876 48 |	0.000000 42.873321 50.095956 50.406597 49.699303 49.064515 48
93.000000 63.723829 55.220403 51.975997 50.389716 49.481678 4 |	93.000000 63.724693 55.218675 51.978588 50.386261 49.485997 4
93.000000 63.804175 55.080664 51.895021 50.391555 49.543003 4 |	93.000000 63.803319 55.082374 51.892456 50.394976 49.538728 4
14.000000 43.408786 49.409897 50.121609 49.752163 49.268643 4 |	14.000000 43.409632 49.408204 50.124148 49.748777 49.272874 4
39.000000 46.424457 49.021758 49.439512 49.213303 48.902207 4 |	39.000000 46.423619 49.023433 49.436999 49.216653 48.898020 4
61.000000 54.263932 50.819869 49.391328 48.772732 48.466714 4 |	61.000000 54.264761 50.818211 49.393814 48.769417 48.470857 4
94.000000 58.814719 50.595828 48.543143 48.006325 47.890886 4 |	94.000000 58.813899 50.597467 48.540683 48.009604 47.886787 4
